S. No.,District,Village,Ownership,Area,Lat ,Long
495,South_Delhi,Maidan Grahi,Forest,10201.51,28.4817917,77.2094403
496,South_Delhi,Maidan Grahi,Forest,1433.27,28.4631,77.2302472
497,South_Delhi,Maidan Grahi,Forest,29213.415,28.4709233,77.2229694
498,South_Delhi,Madangir F/74,DDA,16229.675,28.5258692,77.2326378
499,South_Delhi,Masjid moth,BDO,421.55,28.5590503,77.2161253
500,South_Delhi,Masjid moth,DDA,1180.34,28.5580794,77.2172272
501,South_Delhi,Hauz-e- Samshi Mehrauli (A),ASI,2000,28.5136433,77.1775714
502,South_Delhi,Gandhak ki Baoli Mehrauli (c),ASI,2200,28.5181278,77.15595
503,South_Delhi,"Raza Ki Baoli, Village Ladha Sarai",ASI,858,28.5203772,77.1833925
504,South_Delhi,Mehrauli (kishangarh),DDA,6660.49,28.5202644,77.1661594
505,South_Delhi,Mehrauli (kishangarh),DDA,,28.5279167,77.1703667
506,South_Delhi,Mehrauli (kishangarh),DDA,,28.5319147,77.1755525
507,South_Delhi,Mehrauli (kishangarh),DDA,11086.765,28.5220111,77.1633897
508,South_Delhi,Mehrauli (kishangarh),DDA,36548.385,28.5186936,77.1694081
509,South_Delhi,Mehrauli (kishangarh),DDA,5480.15,28.52105,77.1622917
510,South_Delhi,Mehrauli (kishangarh),DDA,4173.345,28.5201733,77.1616019
511,South_Delhi,Mehrauli (kishangarh),DDA,18042.34,28.5097517,77.1420072
512,South_Delhi,Mehrauli (kishangarh),DDA,2107.75,28.5333778,77.1871222
513,South_Delhi,Qutub ki Baoli Mehrauli (B),Wakf Board,1264.65,28.52125,77.1602722
514,South_Delhi,Neb Sarai,BDO,3541.02,28.5110356,77.2008186
515,South_Delhi,Neb Sarai,BDO,885.255,28.5094936,77.2035028
516,South_Delhi,Neb Sarai,Forest,10496.595,28.4996978,77.2058231
517,South_Delhi,Neb Sarai,Forest,12857.275,28.5036872,77.2016736
518,South_Delhi,Put Sarai,DDA,,28.7742111,77.0492083
519,South_Delhi,Rajpur khurd,BDO,6576.18,28.4930358,77.1912653
520,South_Delhi,Saidabad,BDO,,28.5307,77.2884139
521,South_Delhi,Saidulajab,MCD,1391.115,28.5174575,77.2024192
522,South_Delhi,Satbari,BDO,4257.655,28.4713447,77.2074278
523,South_Delhi,Shaupur,DDA,,28.4620917,77.2094528
526,South_Delhi,Sarai shahji,BDO,,28.538775,77.2081411
527,South_Delhi,Tut Sarai,DDA,,28.5346244,77.2127244
528,South_Delhi,Sheikh Sarai F/66,DDA,2908.695,28.5433819,77.2176444
529,South_Delhi,Sheikh Sarai F/67,DDA,2192.06,28.5375317,77.2170594
530,South_Delhi,Shah pur jat,DDA,4679.205,28.5511233,77.2122181
531,South_Delhi,Shah pur jat,DDA,8051.605,28.5449742,77.2129336
532,South_Delhi,Sultanpur,BDO,18506.045,28.4948617,77.1647272
533,South_Delhi,Sultanpur,BDO,126.465,28.4950114,77.1616417
534,South_Delhi,Sultanpur,BDO,463.705,28.4902061,77.1616347
535,South_Delhi,Tigri,DDA,4552.74,28.5121872,77.2407092
536,South_Delhi,Baoli-II Tughlkabad Fort,ASI,840,28.5125572,77.2599147
537,South_Delhi,Baoli-I Tughlkabad Fort,ASI,414,28.5127722,77.2613667
538,South_Delhi,Baoli-III Tughlkabad Village,ASI,1551,28.5129667,77.267575
539,South_Delhi,Baoli-IV Tughlkabad Village,ASI,22500,28.5142528,77.2677639
540,South_Delhi,"Vasant Kunj, Opposite Sara Restaurent",DDA,6608,28.5068083,77.1439528
541,South_Delhi,"Yusuf Sarai
F/66",DDA,,28.5620667,77.2035472
542,South_Delhi,Zamrudpur F/66,DDA,12941.585,28.5558972,77.2361
543,South_East_Delhi,Aali,DDA,,28.5185722,77.3022944
544,South_East_Delhi,Bahapur,MCD,1348.96,28.5618647,77.2704692
545,South_East_Delhi,Bahapur,BDO,22974.475,28.5451542,77.2670614
546,South_East_Delhi,Bahapur,DDA,15555.195,28.54872,77.2616
547,South_East_Delhi,Badar pur F/74,DDA,7419.28,28.5127778,77.2857194
548,South_East_Delhi,Behlopur Khaddar F/66,DDA,,28.5868528,77.2597833
549,South_East_Delhi,Chakchilla,DDA,,28.57825,77.2822611
550,South_East_Delhi,Garhi jharia maria F/66,DDA,,28.5545506,77.2473917
551,South_East_Delhi,Hari nagar ashram F/66,DDA,18200,28.6298717,77.1154394
552,South_East_Delhi,Jait pur,DDA,,28.5182083,77.32705
553,South_East_Delhi,Jasola F/74,DDA,927.41,28.5488306,77.2767453
554,South_East_Delhi,Jasola F/75,DDA,67448,28.5086683,77.3269167
555,South_East_Delhi,Joga Bai F/66,DDA,,28.5631083,77.2749639
556,South_East_Delhi,"Kotla
mahigiran",DDA,,28.5400611,77.2918778
557,South_East_Delhi,Khizarabad F/66,DDA,,28.5666556,77.2684833
558,South_East_Delhi,Kilokari F/66,DDA,,28.5772936,77.2696911
559,South_East_Delhi,Kotla Mubarakpur,DDA,1348.96,28.5732206,77.2223086
560,South_East_Delhi,Kotla Mubarakpur,DDA,1138.185,28.5652089,77.2231339
561,South_East_Delhi,Meetha pur,DDA,,28.4991861,77.3158806
562,South_East_Delhi,Masih garh F/66,DDA,,28.552925,77.2776139
563,South_East_Delhi,Molar bandh,DDA,2866.54,28.501955,77.3117647
564,South_East_Delhi,Molar bandh,DDA,7419.28,28.5011442,0
565,South_East_Delhi,Molar bandh,DDA,421.55,28.5029631,77.3110983
566,South_East_Delhi,Madan pur khaddar F/74,DDA,,28.5274667,77.3158278
567,South_East_Delhi,Nangli razapur F/89,DDA,,28.5964083,77.2790611
568,South_East_Delhi,Okhla F/66,DDA,,28.5662917,77.2918194
569,South_East_Delhi,Pul pehladpur,BDO,,28.4951139,77.2812417
570,South_East_Delhi,Raipur khurd,DDA,51260.48,28.5590014,77.2261111
571,South_East_Delhi,Sarai Juliana F/66,DDA,,28.5591583,77.2726472
572,South_East_Delhi,Tehkhand F/74,DDA,927.41,28.5070856,77.2855375
573,South_East_Delhi,Tughlakabad F/74,DDA,2529.3,28.5026208,77.2533297
574,South_East_Delhi,Tughlakabad F/74,ASI,3667.485,28.5091939,77.2676081
575,South_East_Delhi,Tughlakabad F/74,DDA,168.62,28.5086708,77.2631428
576,South_East_Delhi,Tughlakabad F/74,ASI,969.565,28.514687,77.2625106
577,South_East_Delhi,Tughlakabad F/74,DDA,463.705,28.4939836,77.2475564
578,South_East_Delhi,Sarai Kalekhan F/89,DDA,,28.583435,77.2576664
579,South_East_Delhi,Tajpul,BDO,,28.4980194,77.3083611
580,South_East_Delhi,Tamoor nagar F/66,DDA,,28.572725,77.2711528
581,South_East_Delhi,Yaqut pur,DDA,8135.915,28.7018869,77.1517178
582,South_West_Delhi,Ambarhai F/02,DDA,5901.7,28.5789008,77.0491525
583,South_West_Delhi,Ambarhai F/02,DDA,4046.88,28.5742131,77.0521714
584,South_West_Delhi,Asalatpur Khawad F/66,BDO,9822.115,28.5428514,76.9474283
585,South_West_Delhi,Asalatpur Khawad F/66,BDO,6491.87,28.54632,76.9357975
586,South_West_Delhi,Bharthal,MCD,13405.29,28.5417856,77.0447675
587,South_West_Delhi,Bharthal,DDA,2023.44,28.5441569,77.054865
588,South_West_Delhi,Bharthal,DDA,6660.49,28.5449339,77.0507675
"589
",South_West_Delhi,Bharthal,MCD,16187.52,28.5420128,77.0444661
590,South_West_Delhi,Bizwasan,BDO,17620.79,28.5353972,77.0574525
591,South_West_Delhi,Bizwasan,BDO,14079.77,28.5371494,77.0466383
592,South_West_Delhi,Bizwasan,BDO,75879,28.5242917,77.068865
593,South_West_Delhi,Bakargarh,BDO,8178.07,28.5940619,76.8765203
594,South_West_Delhi,Bakargarh,BDO,4721.36,28.5954444,76.8706331
595,South_West_Delhi,Bakargarh,BDO,4974.29,28.5830503,76.8849247
596,South_West_Delhi,Badu Sarai,BDO,11381.85,28.5299556,76.9874517
597,South_West_Delhi,Badu Sarai,BDO,4046.88,28.5286256,76.9806628
598,South_West_Delhi,Badu Sarai,BDO,4426.275,28.5348839,76.9814383
599,South_West_Delhi,Badu Sarai,BDO,7882.985,28.5323772,76.9760964
600,South_West_Delhi,Bamnoli,DDA,4004.725,28.5455808,77.0331428
601,South_West_Delhi,Bamnoli,DDA,3625.33,28.5419689,77.0302244
602,South_West_Delhi,Bindapur,DDA,10833.835,28.6116386,77.0736881
603,South_West_Delhi,Bindapur,DDA,4552.74,28.6109178,77.0685306
604,South_West_Delhi,Bindapur,DDA,4384.12,28.6105864,77.0686317
605,South_West_Delhi,Chawala,BDO,16651.225,28.5668211,77.0047667
606,South_West_Delhi,Chawala,BDO,4847.825,28.5645944,77.0021119
607,South_West_Delhi,Chawala,BDO,8346.69,28.5675525,77.0086817
608,South_West_Delhi,Chawala,BDO,10370.13,28.554075,77.0017547
609,South_West_Delhi,Chawala,BDO,12520.035,28.5624408,77.007895
610,South_West_Delhi,Chawala,BDO,3541.02,28.5540028,76.9894325
611,South_West_Delhi,Chawala,BDO,10454.44,28.5650639,77.0045972
612,South_West_Delhi,Chawala,BDO,4046.88,28.5628308,77.0052119
613,South_West_Delhi,Matiala F/02,MCD,4046.88,28.6177911,77.0479472
614,South_West_Delhi,Matiala F/03,MCD,8304.535,28.6121861,77.0467342
615,South_West_Delhi,Matiala F/04,MCD,,28.6152278,77.0408944
616,South_West_Delhi,Matiala F/05,MCD,5564.46,28.61358,77.0438269
617,South_West_Delhi,Daulat pur,BDO,7334.97,28.5421853,76.9646369
618,South_West_Delhi,Daulat pur,BDO,5564.46,28.5434211,76.9554964
619,South_West_Delhi,Daulat pur,BDO,9400.565,28.5468531,76.9624847
620,South_West_Delhi,Daulat pur,BDO,5564.46,28.54571,76.9487947
621,South_West_Delhi,Darya pur Khurd,BDO,2065.595,28.5553956,76.9128025
622,South_West_Delhi,Darya pur Khurd,BDO,19770.695,28.5501342,76.9178519
623,South_West_Delhi,Darya pur Khurd,BDO,9316.255,28.5516614,76.9100367
624,South_West_Delhi,Darya pur Khurd,BDO,3456.71,28.5560047,76.9108161
625,South_West_Delhi,Dabri,DDA,46496.965,28.6081125,77.0857772
626,South_West_Delhi,Daurala,BDO,7166.35,28.508455,76.8974028
627,South_West_Delhi,Daurala,BDO,3456.71,28.5107533,76.8945692
628,South_West_Delhi,Daurala,BDO,2908.695,28.50988,76.8924614
629,South_West_Delhi,Daurala,BDO,6112.475,28.5097542,76.8854369
630,South_West_Delhi,Dhansa,BDO,9864.27,28.5523397,76.8724064
631,South_West_Delhi,Dhansa,BDO,2697.92,28.5553272,76.8736625
632,South_West_Delhi,Dhansa,BDO,8093.76,28.5548933,76.8484747
633,South_West_Delhi,Dhansa,BDO,10960.3,28.5525989,76.8854125
634,South_West_Delhi,Dhool Siras,DDA,7124.195,28.5548189,77.032465
635,South_West_Delhi,Dhool Siras,DDA,6449.715,28.5528958,77.0288128
636,South_West_Delhi,Dhool Siras,DDA,590.17,28.5531581,77.0316028
637,South_West_Delhi,Dhool Siras,DDA,6281.095,28.5555942,77.0326647
638,South_West_Delhi,Dichaun Kalan,BDO,6281.095,28.6372344,76.9829953
639,South_West_Delhi,Dichaun Kalan,BDO,4805.67,28.6383939,76.9799719
640,South_West_Delhi,Dichaun Kalan,BDO,3583.175,28.6476658,76.990925
641,South_West_Delhi,Dichaun Kalan,BDO,18843.285,28.6408828,76.9852117
642,South_West_Delhi,Dichaun Kalan,BDO,590.17,28.6475522,76.9850039
643,South_West_Delhi,Dindar Pur,BDO,4468.43,28.5924111,76.9941244
644,South_West_Delhi,Dindar Pur,BDO,16862,28.5909419,76.999515
645,South_West_Delhi,Gumanhera,BDO,8936.86,28.5343372,76.9229789
646,South_West_Delhi,Gumanhera,BDO,15555.195,28.5495536,76.9299994
647,South_West_Delhi,Gumanhera,BDO,14121.925,28.5336497,76.9282061
648,South_West_Delhi,Gumanhera,BDO,3793.95,28.5373544,76.9256519
649,South_West_Delhi,Gumanhera,BDO,4089.035,28.5345553,76.9246247
650,South_West_Delhi,Gumanhera,BDO,7082.04,28.5462017,76.91485
651,South_West_Delhi,Gumanhera,BDO,7292.815,28.5320969,76.9175286
652,South_West_Delhi,Goyla Khurd,BDO,8810.395,28.5874111,77.0081406
653,South_West_Delhi,Goyla Khurd,BDO,4763.515,28.5830239,77.0041233
654,South_West_Delhi,Galib Pur,BDO,10580.905,28.5247172,76.8836236
655,South_West_Delhi,Galib Pur,BDO,10580.905,28.5297433,76.8787014
656,South_West_Delhi,Hasanpur,BDO,7882.985,28.5565719,76.9375764
657,South_West_Delhi,Hasanpur,BDO,3878.26,28.5538161,76.9435633
658,South_West_Delhi,Haibat pur,DDA,7334.97,28.61933,76.9779033
659,South_West_Delhi,Issapur,BDO,5606.615,28.5752642,76.8669619
660,South_West_Delhi,Issapur,BDO,20571.64,28.5601267,76.8651786
661,South_West_Delhi,Issapur,BDO,10117.2,28.558505,76.8685844
662,South_West_Delhi,Issapur,BDO,8810.395,28.5587183,76.8700336
663,South_West_Delhi,Issapur,BDO,1517.58,28.5761511,76.8467422
664,South_West_Delhi,Issapur,BDO,8262.38,28.5739839,76.8549075
665,South_West_Delhi,Issapur,BDO,2824.385,28.5769714,76.8622678
666,South_West_Delhi,Jaffarpur,BDO,6576.18,28.5899717,76.9221886
667,South_West_Delhi,Jaffarpur,BDO,5100.755,28.5914231,76.9181433
668,South_West_Delhi,Jaffarpur,PWD,5437.995,28.5951456,76.9186572
669,South_West_Delhi,Jaffarpur,PWD,11213.23,28.5941417,76.9068097
670,South_West_Delhi,Jharoda Kalan,BDO,7756.52,28.6505269,76.9419494
671,South_West_Delhi,Jharoda Kalan,BDO,14712.095,28.6493636,76.9466886
672,South_West_Delhi,Jharoda Kalan,BDO,11213.23,28.6489253,76.9306394
673,South_West_Delhi,Jharoda Kalan,BDO,1433.27,28.6575372,76.9529133
674,South_West_Delhi,Jharoda Kalan,BDO,2023.44,28.6545861,76.9499717
675,South_West_Delhi,Jharoda Kalan,BDO,9653.495,28.6582775,76.9445492
676,South_West_Delhi,Jharoda Kalan,BDO,23859.73,28.6567775,76.9527781
677,South_West_Delhi,Jharoda Kalan,PWD,4131.19,28.6467208,76.9531806
678,South_West_Delhi,Jharoda Kalan,PWD,4046.88,28.6460453,76.9537708
679,South_West_Delhi,Jharoda Kalan,PWD,4046.88,28.6467075,76.9538347
680,South_West_Delhi,Jharoda Kalan,PWD,4046.88,28.6463044,76.9532778
681,South_West_Delhi,Jharoda Kalan,BDO,1517.58,28.6569364,76.9475653
682,South_West_Delhi,Jhatikra,BDO,16187.52,28.5222117,76.9635203
683,South_West_Delhi,Jhatikra,BDO,,28.5179153,76.9685214
684,South_West_Delhi,Jhatikra,BDO,5269.375,28.5194286,76.9626192
685,South_West_Delhi,Jhatikra,BDO,5817.39,28.5360894,76.9708456
686,South_West_Delhi,Jhul Jhuli,BDO,1517.58,28.5431992,76.9048089
687,South_West_Delhi,Jhul Jhuli,BDO,1686.2,28.5428886,76.9050017
688,South_West_Delhi,Jhul Jhuli,BDO,843.1,28.5356128,76.9072944
689,South_West_Delhi,Jhul Jhuli,BDO,12224.95,28.5357858,76.9016683
690,South_West_Delhi,Kakrola F/02,DDA,8093.76,28.6098344,77.0194947
691,South_West_Delhi,Kakrola F/02,DDA,13531.755,28.604955,77.0178169
692,South_West_Delhi,Kakrola F/02,DDA,1180.34,28.6143,77.0323344
693,South_West_Delhi,Kakrola F/02,DDA,14754.25,28.59373,77.0263236
694,South_West_Delhi,Kakrola F/02,DDA,18210.96,28.5944092,77.0158353
695,South_West_Delhi,Kakrola F/02,DDA,17494.325,28.5964994,77.0228017
697,South_West_Delhi,Qajipur,BDO,7672.21,28.5741828,76.8811022
700,South_West_Delhi,Kair,BDO,10833.835,28.6232056,76.9216925
701,South_West_Delhi,Kair,BDO,6070.32,28.6198608,76.9197064
702,South_West_Delhi,Kair,BDO,7166.35,28.625115,76.9193356
703,South_West_Delhi,Kair,BDO,17789.41,28.6238272,76.9157606
704,South_West_Delhi,Kair,BDO,4384.12,28.6124808,76.9160822
705,South_West_Delhi,Kair,BDO,2234.215,28.6189708,76.9281975
706,South_West_Delhi,Kair,BDO,716.635,28.6244269,76.9159544
707,South_West_Delhi,Kair,BDO,4384.12,28.6185128,76.9281683
708,South_West_Delhi,Khera Dabar,BDO,15302.265,28.5854061,76.9379881
709,South_West_Delhi,Khera Dabar,BDO,13658.22,28.586835,76.9286783
710,South_West_Delhi,Khera Dabar,BDO,8473.155,28.5896333,76.9324539
711,South_West_Delhi,Khera Dabar,BDO,84.31,28.5825367,76.9357089
712,South_West_Delhi,Khera Dabar,BDO,84.31,28.5828903,76.9356506
713,South_West_Delhi,Khera Dabar,BDO,84.31,28.5830667,76.9351711
714,South_West_Delhi,Khaira,BDO,2234.215,28.5966708,76.9708222
715,South_West_Delhi,Khaira,BDO,6997.73,28.5954125,76.9649283
716,South_West_Delhi,Khaira,BDO,4426.275,28.6002847,76.9610647
717,South_West_Delhi,Kanganheri,BDO,7925.14,28.5446606,0
718,South_West_Delhi,Kanganheri,BDO,11381.85,28.5448928,76.9887219
719,South_West_Delhi,Kanganheri,BDO,6955.575,28.5333747,76.9986697
720,South_West_Delhi,Kanganheri,BDO,3541.02,28.5480706,76.9720089
721,South_West_Delhi,Kanganheri,BDO,8009.45,28.5459356,76.9692106
722,South_West_Delhi,Kapashera,BDO,6028.165,28.5270944,77.0827128
723,South_West_Delhi,Kapashera,BDO,800.945,28.5264306,77.0831825
724,South_West_Delhi,Khar Khari jatmal,BDO,4257.655,28.5800325,76.9446514
725,South_West_Delhi,Khar Khari Nahar,BDO,1896.975,28.581135,76.9567678
726,South_West_Delhi,Khar Khari Nahar,BDO,13025.895,28.5862522,76.9630681
727,South_West_Delhi,Khar Khari Nahar,BDO,4679.205,28.5910422,76.9632089
728,South_West_Delhi,Khar Khari rond,BDO,17620.79,28.5601581,76.9372953
730,South_West_Delhi,Luharheri F/02,DDA,2993.005,28.6000303,77.0437847
731,South_West_Delhi,Malikpur Zer Nazaf Garh,BDO,126.465,28.5663756,76.8929611
732,South_West_Delhi,Malikpur Zer Nazaf Garh,BDO,126.465,28.5542725,76.9015508
733,South_West_Delhi,Malikpur Zer Nazaf Garh,BDO,210.775,28.5492044,76.8997783
734,South_West_Delhi,Masoodabad,DJB,14712.095,28.6143064,77.0011647
735,South_West_Delhi,Masoodabad,DMRC,3836.105,28.6136867,77.0020547
736,South_West_Delhi,Mitraun,BDO,7377.125,28.6074208,76.9500947
737,South_West_Delhi,Mitraun,BDO,15344.42,28.6145333,76.9483933
738,South_West_Delhi,Mitraun,BDO,8051.605,28.6072658,76.9387742
739,South_West_Delhi,Mitraun,BDO,7377.125,28.6068056,76.949955
740,South_West_Delhi,Mitraun,BDO,,28.6071092,76.9496475
741,South_West_Delhi,Mitraun,BDO,210.775,28.6067697,76.9435278
742,South_West_Delhi,Mitraun,BDO,168.62,28.6045539,76.9453278
743,South_West_Delhi,Mitraun,BDO,210.775,28.6011469,76.9422764
744,South_West_Delhi,Mitraun,BDO,210.775,28.6035372,76.9467053
745,South_West_Delhi,Mundela Kalan,BDO,6576.18,28.6106242,76.8946411
746,South_West_Delhi,Mundela Kalan,BDO,24871.45,28.606335,76.8954058
747,South_West_Delhi,Mundela Kalan,BDO,4089.035,28.6154014,76.8891058
748,South_West_Delhi,Mundela Kalan,BDO,5775.235,28.6028031,76.8990058
749,South_West_Delhi,Mundela Kalan,BDO,2908.695,28.5965881,76.8904383
750,South_West_Delhi,Mundela Khurd,BDO,16862,28.6294622,76.8909472
751,South_West_Delhi,Mundela Khurd,BDO,2234.215,28.6177206,76.8983892
752,South_West_Delhi,Mundela Khurd,BDO,758.79,28.6092344,76.9126453
753,South_West_Delhi,Mundela Khurd,BDO,20782.415,28.6190942,76.8906006
754,South_West_Delhi,Mundela Khurd,BDO,16988.465,28.6237706,76.8898222
755,South_West_Delhi,Mayapuri,PWD,,28.6298889,77.12975
756,South_West_Delhi,Nanak Heri,BDO,1644.045,28.5207111,76.9812389
757,South_West_Delhi,Nanak Heri,BDO,252.93,28.5209353,76.9856708
758,South_West_Delhi,Nanak Heri,BDO,84.31,28.5188389,76.98435
759,South_West_Delhi,Nanak Heri,BDO,3077.315,28.5206422,76.9825986
760,South_West_Delhi,Nangli Sakarwati,BDO,2950.85,28.6180942,77.0021703
761,South_West_Delhi,Nangli Sakarwati,BDO,2908.695,28.6191275,77.0001253
762,South_West_Delhi,Najafgarh F/74,DDA,12520.035,28.615645,76.9774847
763,South_West_Delhi,Najafgarh F/74,BDO,5437.995,28.6107319,76.9867594
764,South_West_Delhi,Najafgarh F/74,DDA,1517.58,28.6098775,76.9858308
765,South_West_Delhi,Najafgarh F/74,DDA,1686.2,28.6091522,76.9858144
766,South_West_Delhi,Nasirpur F/02,DDA,11761.245,28.5958639,77.0937347
767,South_West_Delhi,Nasirpur F/02,DDA,168.62,28.5973772,77.0897342
768,South_West_Delhi,Nasirpur F/02,DDA,42.155,28.6003025,77.0983953
769,South_West_Delhi,Nasirpur F/02,DDA,758.79,28.5934156,77.1016736
770,South_West_Delhi,Nasirpur F/02,DDA,6782,28.5983994,77.0870383
771,South_West_Delhi,Nawada F/02,DDA,5859.545,28.6196047,77.0303817
772,South_West_Delhi,Nawada F/02,BDO,3625.33,28.6314539,77.0279911
773,South_West_Delhi,Nawada F/02,DDA,6955.575,28.6242997,77.0472281
774,South_West_Delhi,Paprawat,BDO,210.775,28.5885778,76.9763133
775,South_West_Delhi,Paprawat,BDO,3541.02,28.5888936,76.975655
776,South_West_Delhi,Paprawat,BDO,2908.695,28.5863778,76.9782228
777,South_West_Delhi,Paprawat,BDO,14121.925,28.5848592,76.9753297
778,South_West_Delhi,Paprawat,BDO,5522.305,28.5831878,76.9770592
779,South_West_Delhi,Paprawat,BDO,18801.13,28.57956,76.9838139
780,South_West_Delhi,Paprawat,BDO,2107.75,28.5915147,76.9794133
781,South_West_Delhi,Pindwala Kalan,BDO,16187.52,28.5673514,76.9652258
782,South_West_Delhi,Pindwala Kalan,BDO,14585.63,28.5676097,76.9625481
783,South_West_Delhi,Pindwala Kalan,BDO,22721.545,28.5624006,76.95508
784,South_West_Delhi,Pindwala Khurd,BDO,4004.725,28.5541447,76.9645944
785,South_West_Delhi,Pindwala Khurd,BDO,3583.175,28.5534219,76.9639056
786,South_West_Delhi,Pindwala Khurd,BDO,4173.345,28.5519847,76.9584831
787,South_West_Delhi,Pindwala Khurd,BDO,843.1,28.5588378,76.9620442
788,South_West_Delhi,Pindwala Khurd,BDO,5480.15,28.5577564,76.9635708
789,South_West_Delhi,Pindwala Khurd,BDO,927.41,28.5678528,76.9712
790,South_West_Delhi,Palam F/02,DDA,17494.325,28.5862889,77.072485
791,South_West_Delhi,Palam F/02,DDA,11381.85,28.5909306,77.0739731
792,South_West_Delhi,Palam F/02,DDA,18210.96,28.5896369,77.0733639
793,South_West_Delhi,Palam F/02,DDA,23817.575,28.5922383,77.0775967
794,South_West_Delhi,Palam F/02,DDA,1770.51,28.5941889,77.0774925
795,South_West_Delhi,Palam F/02,DDA,13405.29,28.5914644,77.0821372
796,South_West_Delhi,Pochan Pur F/02,DDA,5733.08,28.5614442,77.0449556
797,South_West_Delhi,Pochan Pur F/02,DDA,9864.27,28.5595967,77.0442203
798,South_West_Delhi,Pochan Pur F/02,DDA,9990.735,28.5580139,77.0465967
799,South_West_Delhi,Pochan Pur F/02,DDA,52778.06,28.5623383,77.0469661
800,South_West_Delhi,Pochan Pur F/02,DDA,6154.63,28.5630611,77.0498414
801,South_West_Delhi,Radhopur,BDO,11550.47,28.5224886,77.0006808
802,South_West_Delhi,Radhopur,BDO,5395.84,28.5193636,77.0065831
803,South_West_Delhi,Radhopur,BDO,7672.21,28.5225867,77.0134453
804,South_West_Delhi,Rawta,BDO,5690.925,28.5188067,76.8899317
805,South_West_Delhi,Rawta,BDO,4974.29,28.5177883,76.9052086
806,South_West_Delhi,Rawta,BDO,2571.455,28.5150825,76.8933314
807,South_West_Delhi,Rawta,BDO,3793.95,28.5271617,76.901155
808,South_West_Delhi,Rawta,BDO,4004.725,28.5229433,76.9057567
809,South_West_Delhi,Rawta,BDO,7882.985,28.5215217,76.9015997
810,South_West_Delhi,Rewla Khan Pur,BDO,10454.44,28.5675522,76.9874675
811,South_West_Delhi,Rewla Khan Pur,BDO,6534.025,28.5702242,76.9892358
812,South_West_Delhi,Rewla Khan Pur,BDO,12772.965,28.5750686,76.9864256
813,South_West_Delhi,Rewla Khan Pur,BDO,4046.88,28.563455,76.9761339
814,South_West_Delhi,Rewla Khan Pur,BDO,2655.765,28.5651447,76.9781714
815,South_West_Delhi,Rewla Khan Pur,BDO,4552.74,28.5661594,76.9818081
816,South_West_Delhi,Rewla Khan Pur,BDO,3920.415,28.5708297,76.9946014
817,South_West_Delhi,Rewla Khan Pur,BDO,9779.96,28.5631789,76.9823972
818,South_West_Delhi,Rewla Khan Pur,BDO,1348.96,28.5589286,76.9765606
819,South_West_Delhi,Rewla Khan Pur,BDO,,28.5750128,76.9871561
820,South_West_Delhi,Roshanpura,BDO,2529.3,28.6088819,76.9859997
821,South_West_Delhi,Salahpur,BDO,4384.12,28.5163397,77.0606742
822,South_West_Delhi,Samaspur Khalsa,BDO,4426.275,28.5858806,76.9079536
823,South_West_Delhi,Samaspur Khalsa,BDO,6534.025,28.5811828,76.90078
824,South_West_Delhi,Samaspur Khalsa,BDO,13152.36,28.5801814,76.9055983
825,South_West_Delhi,Sarangpur,BDO,7419.28,28.5431761,76.8885394
826,South_West_Delhi,Shikarpur,BDO,15091.49,28.5284783,76.9564403
827,South_West_Delhi,Shikarpur,BDO,8683.93,28.5358767,76.9457092
828,South_West_Delhi,Surakh pur,BDO,3625.33,28.6232114,76.9490231
829,South_West_Delhi,Surakh pur,BDO,6070.32,28.6283911,76.9445603
830,South_West_Delhi,Surehera,BDO,43588.27,28.6056081,76.9254675
831,South_West_Delhi,Surehera,BDO,3203.78,28.6018983,76.93256
832,South_West_Delhi,Surehera,BDO,14922.87,28.6121742,76.9372433
833,South_West_Delhi,Surehera,BDO,11171.075,28.5950553,76.9394411
834,South_West_Delhi,Surehera,BDO,6028.165,28.5970403,76.9431614
835,South_West_Delhi,Tajpur Khurd,BDO,16482.605,28.5769228,77.0131069
836,South_West_Delhi,Toganpur F/02,DDA,3583.175,28.5709406,77.0587939
837,South_West_Delhi,Toganpur F/03,DDA,10201.51,28.5717747,77.0607789
838,South_West_Delhi,Ujwa,BDO,20023.625,28.5716775,76.9039389
839,South_West_Delhi,Ujwa,BDO,3836.105,28.5699033,76.9017914
840,South_West_Delhi,Ujwa,BDO,8093.76,28.5654367,76.9046214
841,South_West_Delhi,Ujwa,BDO,5058.6,28.5639194,76.9111522
842,South_West_Delhi,Ujwa,BDO,3372.4,28.5608931,76.9113142
843,South_West_Delhi,Ujwa,BDO,7587.9,28.5681447,76.9074625
844,South_West_Delhi,Ujwa,BDO,3035.16,28.5589994,76.9157572
845,South_West_Delhi,Ujwa,BDO,17620.79,28.5626236,76.9216764
846,South_West_Delhi,Ujwa,BDO,13658.22,28.5667578,76.9242308
848,West_Delhi,Bakarwala,BDO,16103.21,28.6675958,77.0132961
849,West_Delhi,Bakarwala,BDO,7672.21,28.66716,77.0168044
850,West_Delhi,Bakarwala,BDO,3541.02,28.6685247,77.0175936
851,West_Delhi,Bakarwala,BDO,1264.65,28.6698281,77.0158281
852,West_Delhi,Bakarwala,BDO,5185.065,28.6625764,77.0178961
853,West_Delhi,Bakarwala,BDO,4046.88,28.6601536,77.0047397
854,West_Delhi,Baprola,BDO,1686.2,28.6497586,77.0101519
855,West_Delhi,Baprola,BDO,7419.28,28.6433081,77.0148767
